Target_Fusion,Associated_Disease,Patient_Count,Enzyme_Variant,Valid_Cut_Sites,Safety_Risks,AI_Verdict,AI_Rationale,Screening_Strategy,Risk_Factors,Safety_Score
MRPL48-DTX4,BRCA,14,WP_333265241.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_456032753.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_455267944.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,pdb|9ECE|A,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,pdb|9ECD|A,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,pdb|9ECC|A,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,pdb|9ECB|A,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,pdb|9ECA|A,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,pdb|9EC9|A,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,pdb|9EBU|A,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,AJD30372.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,pdb|9M8Q|A,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,pdb|9M38|A,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,pdb|9M34|A,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,pdb|9M33|A,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,pdb|9M31|A,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,pdb|9M30|A,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_444458830.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_444435771.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_444435726.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_117939725.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_443950397.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_410059552.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_443720746.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
MRPL48-DTX4,BRCA,14,WP_443718908.1,28,Fusion cancer-specific (absent in healthy tissue),N/A,Analyzing...,N/A,N/A,100
